# ======================================================================
# CATÁLOGO DE OBLIGACIONES NEGOCIABLES (ONs) ARGENTINAS
# ======================================================================
#
# ⚠️  LEER ANTES DE OPERAR CON ESTOS DATOS ⚠️
#
# Las condiciones de emisión (cupón, vencimiento, cronograma de amortización,
# ley aplicable, lámina mínima) NO se descargan de ninguna API: viven en el
# prospecto de emisión de cada ON. Las filas de abajo son un PUNTO DE PARTIDA
# con los emisores más operados del panel en dólares, cargadas con la
# estructura estándar del mercado (bullet, cupón semestral, base 30/360).
#
# TODAS vienen con verificado=no. Antes de tomar una decisión de inversión,
# contrastá cada fila contra una de estas fuentes y poné verificado=si:
#   - Prospecto de emisión del emisor (CNV: www.argentina.gob.ar/cnv)
#   - Informe Diario del IAMC (www.iamc.com.ar) - trae TIR, paridad y duration
#     ya calculadas, sirve para validar el resultado además de los datos
#   - Boletín diario de BYMA (www.byma.com.ar)
#
# Un cupón o un vencimiento mal cargado no rompe el dashboard: devuelve una
# TIR equivocada, que es peor. La pestaña marca con ⚠️ toda fila sin verificar.
#
# ----------------------------------------------------------------------
# FORMATO DE LAS COLUMNAS
# ----------------------------------------------------------------------
#  ticker          Especie tal como cotiza en BYMA (ej.: YMCJO).
#  emisor          Razón social del emisor.
#  sector          Sector económico, para agrupar y diversificar.
#  moneda          Moneda de pago (USD = "hard dollar").
#  ley             NY o ARG. Jurisdicción donde se litigaría un default.
#  cupon_anual     Tasa nominal anual del cupón, en % (ej.: 9.5). Solo tasa
#                  fija: NO cargar acá bonos CER, dollar-linked ni Badlar.
#  pagos_por_anio  1 (anual), 2 (semestral), 4 (trimestral) o 12 (mensual).
#  fecha_emision   YYYY-MM-DD. Arranque del devengamiento de intereses.
#  vencimiento     YYYY-MM-DD. Último pago de cupón y capital.
#  amortizaciones  Vacío = bullet (100% al vencimiento). Si amortiza en
#                  cuotas: "YYYY-MM-DD:pct|YYYY-MM-DD:pct", sumando 100.
#  lamina_minima   Mínimo negociable en VN. Filtra qué podés comprar de
#                  verdad: una lámina de 100.000 deja afuera al minorista.
#  calificacion    Calificación crediticia local (FIX, Moody's Local, etc.).
#  verificado      si | no. Ver la advertencia de arriba.
#  notas           Comentario libre.
# ----------------------------------------------------------------------
ticker,emisor,sector,moneda,ley,cupon_anual,pagos_por_anio,fecha_emision,vencimiento,amortizaciones,lamina_minima,calificacion,verificado,notas
YMCIO,YPF S.A.,Energía,USD,NY,8.75,2,2023-09-21,2031-09-21,,1000,s/c,no,Condiciones de referencia - verificar contra prospecto
YMCJO,YPF S.A.,Energía,USD,NY,7.00,2,2024-02-12,2033-02-12,,1000,s/c,no,Condiciones de referencia - verificar contra prospecto
YMCQO,YPF S.A.,Energía,USD,ARG,8.50,2,2024-11-15,2029-11-15,,1,s/c,no,Condiciones de referencia - verificar contra prospecto
PNDCO,Pampa Energía S.A.,Energía,USD,NY,9.125,2,2023-04-15,2029-04-15,,1000,s/c,no,Condiciones de referencia - verificar contra prospecto
PNXCO,Pampa Energía S.A.,Energía,USD,NY,7.875,2,2024-05-02,2034-05-02,,1000,s/c,no,Condiciones de referencia - verificar contra prospecto
TLCMO,Telecom Argentina S.A.,Telecomunicaciones,USD,NY,9.50,2,2024-07-18,2031-07-18,,1000,s/c,no,Condiciones de referencia - verificar contra prospecto
TLC5O,Telecom Argentina S.A.,Telecomunicaciones,USD,ARG,8.50,2,2023-08-01,2027-08-01,,1,s/c,no,Condiciones de referencia - verificar contra prospecto
VSCRO,Vista Energy Argentina,Energía,USD,NY,7.625,2,2024-12-10,2035-12-10,,1000,s/c,no,Condiciones de referencia - verificar contra prospecto
TTC8O,Tecpetrol S.A.,Energía,USD,NY,7.625,2,2024-10-30,2031-10-30,,1000,s/c,no,Condiciones de referencia - verificar contra prospecto
GN38O,Genneia S.A.,Energía,USD,NY,8.75,2,2023-09-20,2031-09-20,,1000,s/c,no,Condiciones de referencia - verificar contra prospecto
AEC1O,Aeropuertos Argentina 2000,Infraestructura,USD,NY,8.50,2,2023-02-01,2031-08-01,,1000,s/c,no,Condiciones de referencia - verificar contra prospecto
ARC1O,Arcor S.A.I.C.,Alimentos,USD,ARG,8.25,2,2023-10-05,2027-10-05,,1,s/c,no,Condiciones de referencia - verificar contra prospecto
IRCFO,IRSA Inversiones y Representaciones,Real Estate,USD,ARG,8.75,2,2023-03-22,2028-03-22,,1,s/c,no,Condiciones de referencia - verificar contra prospecto
CS44O,Cresud S.A.C.I.F. y A.,Agroindustria,USD,ARG,8.00,2,2023-11-16,2027-11-16,2026-11-16:33.33|2027-05-16:33.33|2027-11-16:33.34,1,s/c,no,Ejemplo de cronograma con amortizaciones parciales - verificar
RUC5O,Rio Energy S.A.,Energía,USD,ARG,8.00,2,2024-03-15,2028-03-15,,1,s/c,no,Condiciones de referencia - verificar contra prospecto
